FARM_ID,MSRM_DT,AREA_NM,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,SPICES_NM_1,SPICES_NM_2,SPICES_NM_3,HOUSE_QLFMT_CONT,HOUSE_TYPE,PLANT_AR_SQM,SHPMN_QTY,SHPMN_AMT
GBE_KRMLN_002000at,2019-01-05 23:00:00,성주,18.0,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 00:00:00,성주,17.7,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 01:00:00,성주,17.5,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 02:00:00,성주,17.2,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 03:00:00,성주,17.1,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 04:00:00,성주,16.9,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 05:00:00,성주,16.6,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 06:00:00,성주,16.5,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 07:00:00,성주,16.3,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 08:00:00,성주,16.3,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 09:00:00,성주,16.3,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 10:00:00,성주,17.7,66.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 11:00:00,성주,24.8,59.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 12:00:00,성주,29.4,53.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 13:00:00,성주,32.0,63.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 14:00:00,성주,31.6,62.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 15:00:00,성주,27.7,58.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 16:00:00,성주,21.9,45.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 17:00:00,성주,18.2,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 18:00:00,성주,20.4,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 19:00:00,성주,20.0,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 20:00:00,성주,19.6,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 21:00:00,성주,19.3,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 22:00:00,성주,18.7,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-06 23:00:00,성주,18.3,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 00:00:00,성주,17.9,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 01:00:00,성주,17.6,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 02:00:00,성주,17.3,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 03:00:00,성주,17.0,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 04:00:00,성주,16.7,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 05:00:00,성주,16.4,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 06:00:00,성주,16.2,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 07:00:00,성주,15.9,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 08:00:00,성주,15.8,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 09:00:00,성주,15.7,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 10:00:00,성주,18.3,67.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 11:00:00,성주,24.2,63.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 12:00:00,성주,28.1,61.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 13:00:00,성주,30.9,55.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 14:00:00,성주,29.7,64.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 15:00:00,성주,26.3,58.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 16:00:00,성주,20.6,58.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 17:00:00,성주,19.1,96.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 18:00:00,성주,20.1,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 19:00:00,성주,19.7,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 20:00:00,성주,19.3,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 21:00:00,성주,19.0,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 22:00:00,성주,18.7,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-07 23:00:00,성주,18.4,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 00:00:00,성주,18.2,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 01:00:00,성주,18.0,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 02:00:00,성주,17.8,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 03:00:00,성주,17.6,94.0,,바른꿀,,,비닐,단동,19800,,
